feature,dtype,missing_pct,is_constant,is_near_constant,is_leakage,target_corr,redundant_with,decision,reason
PREV_CC_CNT_DRAWINGS_OTHER_CURRENT_MIN_MEAN,float64,82.79,False,True,False,-0.0028,,drop,near-constant (dominant value >= 99.5%)
PREV_CC_SK_DPD_DEF_MIN_MAX,float64,74.66,True,False,False,,,drop,constant (single unique value)
PREV_CC_SK_DPD_DEF_MIN_MEAN,float64,74.66,True,False,False,,,drop,constant (single unique value)
PREV_CC_SK_DPD_MIN_MAX,float64,74.66,True,False,False,,,drop,constant (single unique value)
PREV_CC_SK_DPD_MIN_MEAN,float64,74.66,True,False,False,,,drop,constant (single unique value)
PREV_INST_NUM_INSTALMENT_NUMBER_MIN_MAX,float64,5.89,False,True,False,0.005,PREV_INST_NUM_INSTALMENT_NUMBER_MIN_MEAN (corr=0.951),drop,near-constant (dominant value >= 99.5%)
PREV_INST_NUM_INSTALMENT_NUMBER_MIN_MEAN,float64,5.89,False,True,False,0.0057,,drop,near-constant (dominant value >= 99.5%)
PREV_NFLAG_LAST_APPL_IN_DAY_MAX,float64,5.35,False,True,False,-0.0014,,drop,near-constant (dominant value >= 99.5%)
PREV_POS_SK_DPD_DEF_MIN_MAX,float64,6.68,False,True,False,-0.0006,PREV_POS_SK_DPD_DEF_MIN_MEAN (corr=1.000),drop,near-constant (dominant value >= 99.5%)
PREV_POS_SK_DPD_DEF_MIN_MEAN,float64,6.68,False,True,False,-0.0006,,drop,near-constant (dominant value >= 99.5%)
PREV_POS_SK_DPD_MIN_MAX,float64,6.68,False,True,False,-0.0009,PREV_POS_SK_DPD_MIN_MEAN (corr=0.981),drop,near-constant (dominant value >= 99.5%)
PREV_POS_SK_DPD_MIN_MEAN,float64,6.68,False,True,False,-0.0009,,drop,near-constant (dominant value >= 99.5%)
PREV_RATE_INTEREST_PRIMARY_MAX,float64,98.5,False,False,False,-0.0039,PREV_RATE_INTEREST_PRIMARY_MEAN (corr=0.998); PREV_RATE_INTEREST_PRIMARY_MIN (corr=0.990),drop,"extremely high missing (98.5% >= 95%), unreliable"
PREV_RATE_INTEREST_PRIMARY_MEAN,float64,98.5,False,False,False,-0.0036,,drop,"extremely high missing (98.5% >= 95%), unreliable"
PREV_RATE_INTEREST_PRIMARY_MIN,float64,98.5,False,False,False,-0.0033,PREV_RATE_INTEREST_PRIMARY_MEAN (corr=0.998),drop,"extremely high missing (98.5% >= 95%), unreliable"
PREV_RATE_INTEREST_PRIMARY_STD,float64,99.94,False,False,False,-0.0211,,drop,"extremely high missing (99.9% >= 95%), unreliable"
PREV_RATE_INTEREST_PRIVILEGED_MAX,float64,98.5,False,False,False,0.0303,PREV_RATE_INTEREST_PRIVILEGED_MEAN (corr=0.994); PREV_RATE_INTEREST_PRIVILEGED_MIN (corr=0.975),drop,"extremely high missing (98.5% >= 95%), unreliable"
PREV_RATE_INTEREST_PRIVILEGED_MEAN,float64,98.5,False,False,False,0.0296,,drop,"extremely high missing (98.5% >= 95%), unreliable"
PREV_RATE_INTEREST_PRIVILEGED_MIN,float64,98.5,False,False,False,0.0287,PREV_RATE_INTEREST_PRIVILEGED_MEAN (corr=0.994),drop,"extremely high missing (98.5% >= 95%), unreliable"
PREV_RATE_INTEREST_PRIVILEGED_STD,float64,99.94,False,False,False,0.0514,,drop,"extremely high missing (99.9% >= 95%), unreliable"
AMT_ANNUITY,float64,0.0,False,False,False,-0.0127,,keep,missing=0.0%; target_corr=-0.013
AMT_CREDIT,float64,0.0,False,False,False,-0.0308,,keep,missing=0.0%; target_corr=-0.031
AMT_GOODS_PRICE,float64,0.09,False,False,False,-0.0399,AMT_CREDIT (corr=0.987),keep,"missing=0.1%; target_corr=-0.040; redundant_with=[AMT_CREDIT (corr=0.987)] (kept, monitor for linear models)"
AMT_INCOME_TOTAL,float64,0.0,False,False,False,-0.0027,,keep,missing=0.0%; target_corr=-0.003
AMT_REQ_CREDIT_BUREAU_DAY,float64,13.5,False,False,False,0.0033,,keep,missing=13.5%; target_corr=0.003
AMT_REQ_CREDIT_BUREAU_HOUR,float64,13.5,False,False,False,0.0012,,keep,missing=13.5%; target_corr=0.001
AMT_REQ_CREDIT_BUREAU_MON,float64,13.5,False,False,False,-0.0118,,keep,missing=13.5%; target_corr=-0.012
AMT_REQ_CREDIT_BUREAU_QRT,float64,13.5,False,False,False,-0.0034,,keep,missing=13.5%; target_corr=-0.003
AMT_REQ_CREDIT_BUREAU_WEEK,float64,13.5,False,False,False,0.0016,,keep,missing=13.5%; target_corr=0.002
AMT_REQ_CREDIT_BUREAU_YEAR,float64,13.5,False,False,False,0.019,,keep,missing=13.5%; target_corr=0.019
APARTMENTS_AVG,float64,50.75,False,False,False,-0.0294,,keep,missing=50.7%; target_corr=-0.029
APARTMENTS_MEDI,float64,50.75,False,False,False,-0.0292,APARTMENTS_AVG (corr=0.995); APARTMENTS_MODE (corr=0.978),keep,"missing=50.7%; target_corr=-0.029; redundant_with=[APARTMENTS_AVG (corr=0.995); APARTMENTS_MODE (corr=0.978)] (kept, monitor for linear models)"
APARTMENTS_MODE,float64,50.75,False,False,False,-0.0272,APARTMENTS_AVG (corr=0.974),keep,"missing=50.7%; target_corr=-0.027; redundant_with=[APARTMENTS_AVG (corr=0.974)] (kept, monitor for linear models)"
BASEMENTAREA_AVG,float64,58.52,False,False,False,-0.0216,,keep,missing=58.5%; target_corr=-0.022
BASEMENTAREA_MEDI,float64,58.52,False,False,False,-0.0208,BASEMENTAREA_AVG (corr=0.994); BASEMENTAREA_MODE (corr=0.978),keep,"missing=58.5%; target_corr=-0.021; redundant_with=[BASEMENTAREA_AVG (corr=0.994); BASEMENTAREA_MODE (corr=0.978)] (kept, monitor for linear models)"
BASEMENTAREA_MODE,float64,58.52,False,False,False,-0.019,BASEMENTAREA_AVG (corr=0.973),keep,"missing=58.5%; target_corr=-0.019; redundant_with=[BASEMENTAREA_AVG (corr=0.973)] (kept, monitor for linear models)"
BUREAU_AMT_ANNUITY_MAX,float64,73.98,False,False,False,-0.0034,,keep,missing=74.0%; target_corr=-0.003
BUREAU_AMT_ANNUITY_MEAN,float64,73.98,False,False,False,-0.0033,,keep,missing=74.0%; target_corr=-0.003
BUREAU_AMT_ANNUITY_MIN,float64,73.98,False,False,False,-0.0021,,keep,missing=74.0%; target_corr=-0.002
BUREAU_AMT_ANNUITY_STD,float64,79.66,False,False,False,-0.0037,BUREAU_AMT_ANNUITY_MAX (corr=0.959),keep,"missing=79.7%; target_corr=-0.004; redundant_with=[BUREAU_AMT_ANNUITY_MAX (corr=0.959)] (kept, monitor for linear models)"
BUREAU_AMT_ANNUITY_SUM,float64,14.31,False,False,False,0.0002,,keep,missing=14.3%; target_corr=0.000
BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,float64,40.2,False,False,False,0.0018,BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN (corr=0.953),keep,"missing=40.2%; target_corr=0.002; redundant_with=[BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN (corr=0.953)] (kept, monitor for linear models)"
BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,float64,40.2,False,False,False,0.0017,,keep,missing=40.2%; target_corr=0.002
BUREAU_AMT_CREDIT_MAX_OVERDUE_MIN,float64,40.2,False,False,False,0.0017,,keep,missing=40.2%; target_corr=0.002
BUREAU_AMT_CREDIT_MAX_OVERDUE_STD,float64,61.44,False,False,False,0.0006,BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN (corr=0.998); BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX (corr=0.996); BUREAU_AMT_CREDIT_MAX_OVERDUE_SUM (corr=0.991),keep,"missing=61.4%; target_corr=0.001; redundant_with=[BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN (corr=0.998); BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX (corr=0.996); BUREAU_AMT_CREDIT_MAX_OVERDUE_SUM (corr=0.991)] (kept, monitor for linear models)"
BUREAU_AMT_CREDIT_MAX_OVERDUE_SUM,float64,14.31,False,False,False,0.0018,BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX (corr=0.999); BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN (corr=0.950),keep,"missing=14.3%; target_corr=0.002; redundant_with=[BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX (corr=0.999); BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN (corr=0.950)] (kept, monitor for linear models)"
BUREAU_AMT_CREDIT_SUM_DEBT_MAX,float64,16.71,False,False,False,-0.0031,,keep,missing=16.7%; target_corr=-0.003
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,float64,16.71,False,False,False,-0.0009,,keep,missing=16.7%; target_corr=-0.001
BUREAU_AMT_CREDIT_SUM_DEBT_MIN,float64,16.71,False,False,False,0.0,,keep,missing=16.7%; target_corr=0.000
BUREAU_AMT_CREDIT_SUM_DEBT_STD,float64,30.37,False,False,False,-0.0038,BUREAU_AMT_CREDIT_SUM_DEBT_MAX (corr=0.951),keep,"missing=30.4%; target_corr=-0.004; redundant_with=[BUREAU_AMT_CREDIT_SUM_DEBT_MAX (corr=0.951)] (kept, monitor for linear models)"
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,float64,14.31,False,False,False,0.0064,BUREAU_AMT_CREDIT_SUM_DEBT_MAX (corr=0.952),keep,"missing=14.3%; target_corr=0.006; redundant_with=[BUREAU_AMT_CREDIT_SUM_DEBT_MAX (corr=0.952)] (kept, monitor for linear models)"
BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,float64,21.16,False,False,False,-0.0108,,keep,missing=21.2%; target_corr=-0.011
BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN,float64,21.16,False,False,False,-0.0116,,keep,missing=21.2%; target_corr=-0.012
BUREAU_AMT_CREDIT_SUM_LIMIT_MIN,float64,21.16,False,False,False,-0.0047,,keep,missing=21.2%; target_corr=-0.005
BUREAU_AMT_CREDIT_SUM_LIMIT_STD,float64,37.55,False,False,False,-0.012,BUREAU_AMT_CREDIT_SUM_LIMIT_MAX (corr=0.961); BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN (corr=0.952),keep,"missing=37.6%; target_corr=-0.012; redundant_with=[BUREAU_AMT_CREDIT_SUM_LIMIT_MAX (corr=0.961); BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN (corr=0.952)] (kept, monitor for linear models)"
BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,float64,14.31,False,False,False,-0.0096,BUREAU_AMT_CREDIT_SUM_LIMIT_MAX (corr=0.953),keep,"missing=14.3%; target_corr=-0.010; redundant_with=[BUREAU_AMT_CREDIT_SUM_LIMIT_MAX (corr=0.953)] (kept, monitor for linear models)"
BUREAU_AMT_CREDIT_SUM_MAX,float64,14.32,False,False,False,-0.0204,,keep,missing=14.3%; target_corr=-0.020
BUREAU_AMT_CREDIT_SUM_MEAN,float64,14.32,False,False,False,-0.0211,,keep,missing=14.3%; target_corr=-0.021
BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,float64,14.31,False,False,False,0.0098,,keep,missing=14.3%; target_corr=0.010
BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,float64,14.31,False,False,False,0.0065,,keep,missing=14.3%; target_corr=0.007
BUREAU_AMT_CREDIT_SUM_OVERDUE_STD,float64,26.05,False,False,False,0.0107,BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN (corr=0.979); BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX (corr=0.979),keep,"missing=26.0%; target_corr=0.011; redundant_with=[BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN (corr=0.979); BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX (corr=0.979)] (kept, monitor for linear models)"
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,float64,14.31,False,False,False,0.0125,BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX (corr=0.960),keep,"missing=14.3%; target_corr=0.013; redundant_with=[BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX (corr=0.960)] (kept, monitor for linear models)"
BUREAU_BB_COUNT_MAX,float64,70.01,False,False,False,-0.0682,BUREAU_BB_MONTHS_BALANCE_STD_MAX (corr=1.000),keep,"missing=70.0%; target_corr=-0.068; redundant_with=[BUREAU_BB_MONTHS_BALANCE_STD_MAX (corr=1.000)] (kept, monitor for linear models)"
BUREAU_BB_COUNT_MEAN,float64,70.01,False,False,False,-0.0803,BUREAU_BB_MONTHS_BALANCE_STD_MEAN (corr=0.998),keep,"missing=70.0%; target_corr=-0.080; redundant_with=[BUREAU_BB_MONTHS_BALANCE_STD_MEAN (corr=0.998)] (kept, monitor for linear models)"
BUREAU_BB_MONTHS_BALANCE_MAX_MAX,float64,70.01,False,False,False,0.0079,,keep,missing=70.0%; target_corr=0.008
BUREAU_BB_MONTHS_BALANCE_MAX_MEAN,float64,70.01,False,False,False,0.0206,,keep,missing=70.0%; target_corr=0.021
BUREAU_BB_MONTHS_BALANCE_MEAN_MAX,float64,70.01,False,False,False,0.0466,BUREAU_DAYS_CREDIT_MAX (corr=0.960),keep,"missing=70.0%; target_corr=0.047; redundant_with=[BUREAU_DAYS_CREDIT_MAX (corr=0.960)] (kept, monitor for linear models)"
BUREAU_BB_MONTHS_BALANCE_MEAN_MEAN,float64,70.01,False,False,False,0.0747,,keep,missing=70.0%; target_corr=0.075
BUREAU_BB_MONTHS_BALANCE_MIN_MAX,float64,70.01,False,False,False,0.052,BUREAU_DAYS_CREDIT_MAX (corr=0.999); BUREAU_BB_MONTHS_BALANCE_MEAN_MAX (corr=0.960),keep,"missing=70.0%; target_corr=0.052; redundant_with=[BUREAU_DAYS_CREDIT_MAX (corr=0.999); BUREAU_BB_MONTHS_BALANCE_MEAN_MAX (corr=0.960)] (kept, monitor for linear models)"
BUREAU_BB_MONTHS_BALANCE_MIN_MEAN,float64,70.01,False,False,False,0.0879,BUREAU_DAYS_CREDIT_MEAN (corr=1.000),keep,"missing=70.0%; target_corr=0.088; redundant_with=[BUREAU_DAYS_CREDIT_MEAN (corr=1.000)] (kept, monitor for linear models)"
BUREAU_BB_MONTHS_BALANCE_STD_MAX,float64,70.08,False,False,False,-0.0676,,keep,missing=70.1%; target_corr=-0.068
BUREAU_BB_MONTHS_BALANCE_STD_MEAN,float64,70.08,False,False,False,-0.0788,,keep,missing=70.1%; target_corr=-0.079
BUREAU_BB_MONTHS_BALANCE_SUM_MAX,float64,70.01,False,False,False,0.0327,,keep,missing=70.0%; target_corr=0.033
BUREAU_BB_MONTHS_BALANCE_SUM_MEAN,float64,70.01,False,False,False,0.0724,,keep,missing=70.0%; target_corr=0.072
BUREAU_BB_STATUS_NUNIQUE_MAX,float64,70.01,False,False,False,0.015,,keep,missing=70.0%; target_corr=0.015
BUREAU_BB_STATUS_NUNIQUE_MEAN,float64,70.01,False,False,False,0.0028,,keep,missing=70.0%; target_corr=0.003
BUREAU_CNT_CREDIT_PROLONG_MAX,float64,14.31,False,False,False,0.0046,,keep,missing=14.3%; target_corr=0.005
BUREAU_CNT_CREDIT_PROLONG_MEAN,float64,14.31,False,False,False,0.0021,,keep,missing=14.3%; target_corr=0.002
BUREAU_CNT_CREDIT_PROLONG_STD,float64,26.05,False,False,False,0.0064,BUREAU_CNT_CREDIT_PROLONG_MEAN (corr=0.956); BUREAU_CNT_CREDIT_PROLONG_MAX (corr=0.952),keep,"missing=26.0%; target_corr=0.006; redundant_with=[BUREAU_CNT_CREDIT_PROLONG_MEAN (corr=0.956); BUREAU_CNT_CREDIT_PROLONG_MAX (corr=0.952)] (kept, monitor for linear models)"
BUREAU_CNT_CREDIT_PROLONG_SUM,float64,14.31,False,False,False,0.0048,BUREAU_CNT_CREDIT_PROLONG_MAX (corr=0.989),keep,"missing=14.3%; target_corr=0.005; redundant_with=[BUREAU_CNT_CREDIT_PROLONG_MAX (corr=0.989)] (kept, monitor for linear models)"
BUREAU_COUNT,float64,14.31,False,False,False,0.005,,keep,missing=14.3%; target_corr=0.005
BUREAU_CREDIT_ACTIVE_NUNIQUE,float64,14.31,False,False,False,-0.0001,,keep,missing=14.3%; target_corr=-0.000
BUREAU_CREDIT_DAY_OVERDUE_MAX,float64,14.31,False,False,False,0.0063,,keep,missing=14.3%; target_corr=0.006
BUREAU_CREDIT_DAY_OVERDUE_MEAN,float64,14.31,False,False,False,0.0068,,keep,missing=14.3%; target_corr=0.007
BUREAU_CREDIT_DAY_OVERDUE_STD,float64,26.05,False,False,False,0.0056,BUREAU_CREDIT_DAY_OVERDUE_MEAN (corr=0.960); BUREAU_CREDIT_DAY_OVERDUE_MAX (corr=0.958),keep,"missing=26.0%; target_corr=0.006; redundant_with=[BUREAU_CREDIT_DAY_OVERDUE_MEAN (corr=0.960); BUREAU_CREDIT_DAY_OVERDUE_MAX (corr=0.958)] (kept, monitor for linear models)"
BUREAU_CREDIT_DAY_OVERDUE_SUM,float64,14.31,False,False,False,0.0072,BUREAU_CREDIT_DAY_OVERDUE_MAX (corr=0.987),keep,"missing=14.3%; target_corr=0.007; redundant_with=[BUREAU_CREDIT_DAY_OVERDUE_MAX (corr=0.987)] (kept, monitor for linear models)"
BUREAU_CREDIT_TYPE_NUNIQUE,float64,14.31,False,False,False,0.0055,,keep,missing=14.3%; target_corr=0.006
BUREAU_DAYS_CREDIT_ENDDATE_MAX,float64,15.05,False,False,False,0.036,,keep,missing=15.0%; target_corr=0.036
BUREAU_DAYS_CREDIT_ENDDATE_MEAN,float64,15.05,False,False,False,0.0443,,keep,missing=15.0%; target_corr=0.044
BUREAU_DAYS_CREDIT_ENDDATE_MIN,float64,15.05,False,False,False,0.0317,,keep,missing=15.0%; target_corr=0.032
BUREAU_DAYS_CREDIT_ENDDATE_STD,float64,27.56,False,False,False,0.0363,,keep,missing=27.6%; target_corr=0.036
BUREAU_DAYS_CREDIT_ENDDATE_SUM,float64,14.31,False,False,False,0.0524,,keep,missing=14.3%; target_corr=0.052
BUREAU_DAYS_CREDIT_MAX,float64,14.31,False,False,False,0.0504,,keep,missing=14.3%; target_corr=0.050
BUREAU_DAYS_CREDIT_MEAN,float64,14.31,False,False,False,0.0886,,keep,missing=14.3%; target_corr=0.089
BUREAU_DAYS_CREDIT_MIN,float64,14.31,False,False,False,0.0737,,keep,missing=14.3%; target_corr=0.074
BUREAU_DAYS_CREDIT_STD,float64,26.05,False,False,False,-0.0488,,keep,missing=26.0%; target_corr=-0.049
BUREAU_DAYS_CREDIT_SUM,float64,14.31,False,False,False,0.0399,,keep,missing=14.3%; target_corr=0.040
BUREAU_DAYS_CREDIT_UPDATE_MAX,float64,14.31,False,False,False,0.0293,,keep,missing=14.3%; target_corr=0.029
BUREAU_DAYS_CREDIT_UPDATE_MEAN,float64,14.31,False,False,False,0.0683,,keep,missing=14.3%; target_corr=0.068
BUREAU_DAYS_CREDIT_UPDATE_MIN,float64,14.31,False,False,False,0.0414,,keep,missing=14.3%; target_corr=0.041
BUREAU_DAYS_CREDIT_UPDATE_STD,float64,26.05,False,False,False,-0.0391,,keep,missing=26.0%; target_corr=-0.039
BUREAU_DAYS_CREDIT_UPDATE_SUM,float64,14.31,False,False,False,0.0397,,keep,missing=14.3%; target_corr=0.040
BUREAU_DAYS_ENDDATE_FACT_MAX,float64,25.09,False,False,False,0.0199,,keep,missing=25.1%; target_corr=0.020
BUREAU_DAYS_ENDDATE_FACT_MEAN,float64,25.09,False,False,False,0.0522,,keep,missing=25.1%; target_corr=0.052
BUREAU_DAYS_ENDDATE_FACT_MIN,float64,25.09,False,False,False,0.0537,,keep,missing=25.1%; target_corr=0.054
BUREAU_DAYS_ENDDATE_FACT_STD,float64,42.45,False,False,False,-0.0373,,keep,missing=42.4%; target_corr=-0.037
BUREAU_DAYS_ENDDATE_FACT_SUM,float64,14.31,False,False,False,0.047,,keep,missing=14.3%; target_corr=0.047
CNT_CHILDREN,int64,0.0,False,False,False,0.0203,,keep,missing=0.0%; target_corr=0.020
CNT_FAM_MEMBERS,float64,0.0,False,False,False,0.0098,,keep,missing=0.0%; target_corr=0.010
CODE_GENDER,object,0.0,False,False,False,,,keep,missing=0.0%
COMMONAREA_AVG,float64,69.87,False,False,False,-0.016,,keep,missing=69.9%; target_corr=-0.016
COMMONAREA_MEDI,float64,69.87,False,False,False,-0.016,COMMONAREA_AVG (corr=0.996); COMMONAREA_MODE (corr=0.979),keep,"missing=69.9%; target_corr=-0.016; redundant_with=[COMMONAREA_AVG (corr=0.996); COMMONAREA_MODE (corr=0.979)] (kept, monitor for linear models)"
COMMONAREA_MODE,float64,69.87,False,False,False,-0.0137,COMMONAREA_AVG (corr=0.976),keep,"missing=69.9%; target_corr=-0.014; redundant_with=[COMMONAREA_AVG (corr=0.976)] (kept, monitor for linear models)"
DAYS_BIRTH,int64,0.0,False,False,False,0.0795,,keep,missing=0.0%; target_corr=0.079
DAYS_EMPLOYED,int64,0.0,False,False,False,-0.0454,,keep,missing=0.0%; target_corr=-0.045
DAYS_ID_PUBLISH,int64,0.0,False,False,False,0.0496,,keep,missing=0.0%; target_corr=0.050
DAYS_LAST_PHONE_CHANGE,float64,0.0,False,False,False,0.0538,,keep,missing=0.0%; target_corr=0.054
DAYS_REGISTRATION,float64,0.0,False,False,False,0.0421,,keep,missing=0.0%; target_corr=0.042
DEF_30_CNT_SOCIAL_CIRCLE,float64,0.33,False,False,False,0.0321,,keep,missing=0.3%; target_corr=0.032
DEF_60_CNT_SOCIAL_CIRCLE,float64,0.33,False,False,False,0.0321,,keep,missing=0.3%; target_corr=0.032
ELEVATORS_AVG,float64,53.3,False,False,False,-0.0345,,keep,missing=53.3%; target_corr=-0.034
ELEVATORS_MEDI,float64,53.3,False,False,False,-0.0341,ELEVATORS_AVG (corr=0.996); ELEVATORS_MODE (corr=0.983),keep,"missing=53.3%; target_corr=-0.034; redundant_with=[ELEVATORS_AVG (corr=0.996); ELEVATORS_MODE (corr=0.983)] (kept, monitor for linear models)"
ELEVATORS_MODE,float64,53.3,False,False,False,-0.0323,ELEVATORS_AVG (corr=0.979),keep,"missing=53.3%; target_corr=-0.032; redundant_with=[ELEVATORS_AVG (corr=0.979)] (kept, monitor for linear models)"
EMERGENCYSTATE_MODE,object,47.4,False,False,False,,,keep,missing=47.4%
ENTRANCES_AVG,float64,50.35,False,False,False,-0.0195,,keep,missing=50.3%; target_corr=-0.020
ENTRANCES_MEDI,float64,50.35,False,False,False,-0.0192,ENTRANCES_AVG (corr=0.997); ENTRANCES_MODE (corr=0.981),keep,"missing=50.3%; target_corr=-0.019; redundant_with=[ENTRANCES_AVG (corr=0.997); ENTRANCES_MODE (corr=0.981)] (kept, monitor for linear models)"
ENTRANCES_MODE,float64,50.35,False,False,False,-0.0177,ENTRANCES_AVG (corr=0.978),keep,"missing=50.3%; target_corr=-0.018; redundant_with=[ENTRANCES_AVG (corr=0.978)] (kept, monitor for linear models)"
EXT_SOURCE_1,float64,56.38,False,False,False,-0.1554,,keep,missing=56.4%; target_corr=-0.155
EXT_SOURCE_2,float64,0.21,False,False,False,-0.1596,,keep,missing=0.2%; target_corr=-0.160
EXT_SOURCE_3,float64,19.83,False,False,False,-0.1788,,keep,missing=19.8%; target_corr=-0.179
FLAG_DOCUMENT_16,int64,0.0,False,False,False,-0.0112,,keep,missing=0.0%; target_corr=-0.011
FLAG_DOCUMENT_18,int64,0.0,False,False,False,-0.0072,,keep,missing=0.0%; target_corr=-0.007
FLAG_DOCUMENT_3,int64,0.0,False,False,False,0.0443,,keep,missing=0.0%; target_corr=0.044
FLAG_DOCUMENT_5,int64,0.0,False,False,False,-0.0004,,keep,missing=0.0%; target_corr=-0.000
FLAG_DOCUMENT_6,int64,0.0,False,False,False,-0.0279,,keep,missing=0.0%; target_corr=-0.028
FLAG_DOCUMENT_8,int64,0.0,False,False,False,-0.0086,,keep,missing=0.0%; target_corr=-0.009
FLAG_EMAIL,int64,0.0,False,False,False,-0.0006,,keep,missing=0.0%; target_corr=-0.001
FLAG_EMP_PHONE,int64,0.0,False,False,False,0.0464,DAYS_EMPLOYED (corr=1.000),keep,"missing=0.0%; target_corr=0.046; redundant_with=[DAYS_EMPLOYED (corr=1.000)] (kept, monitor for linear models)"
FLAG_OWN_CAR,object,0.0,False,False,False,,,keep,missing=0.0%
FLAG_OWN_REALTY,object,0.0,False,False,False,,,keep,missing=0.0%
FLAG_PHONE,int64,0.0,False,False,False,-0.0238,,keep,missing=0.0%; target_corr=-0.024
FLAG_WORK_PHONE,int64,0.0,False,False,False,0.0283,,keep,missing=0.0%; target_corr=0.028
FLOORSMAX_AVG,float64,49.76,False,False,False,-0.0437,,keep,missing=49.8%; target_corr=-0.044
